Cubic Polynomial_0_0,x + x*log(4),tensor(0.2386),-9.179363244637667
Cubic Polynomial_0_1,x/sin(5),tensor(0.2237),-11.036613916912124
Cubic Polynomial_0_2,sin(2*x + 3),tensor(0.2214),-11.36928387830143
Cubic Polynomial_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c040c40>>
Cubic Polynomial_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac154fd0>>
Cubic Polynomial_0_5,x*(x + cos(x) + 1),tensor(0.2261),-10.71640520053457
Cubic Polynomial_0_6,x**6/6,tensor(0.2288),-10.364027210597934
Cubic Polynomial_0_7,tan(x) + 5,tensor(0.1504),-30.9062592429429
Cubic Polynomial_0_8,-x**2 + x,tensor(0.2453),-8.465147135307747
Cubic Polynomial_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0409a0>>
Cubic Polynomial_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c040e80>>
Cubic Polynomial_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c040340>>
Cubic Polynomial_0_12,2*x**2 + x,tensor(0.2142),-12.450204572303244
Cubic Polynomial_0_13,x*sin(x) + x,tensor(0.2249),-10.878568869088815
Cubic Polynomial_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac154490>>
Cubic Polynomial_0_15,x*(3*x + exp(x)),tensor(0.1970),-15.616125932423191
Cubic Polynomial_0_16,cos(x + 5),tensor(0.2279),-10.483213034145487
Cubic Polynomial_0_17,asinh(2*x),tensor(0.2363),-9.448260180044377
Cubic Polynomial_0_18,12*x**4,tensor(0.1662),-24.17176587263318
Cubic Polynomial_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b370>>
Cubic Polynomial_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b760>>
Cubic Polynomial_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b670>>
Cubic Polynomial_0_22,3*x**3,tensor(0.2374),-9.3205550695763
Cubic Polynomial_0_23,1/(x**4 + 2*x),tensor(0.1765),-20.77420886545553
Cubic Polynomial_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1da5e0>>
Cubic Polynomial_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac154be0>>
Cubic Polynomial_0_26,-x**3 + x,tensor(0.2313),-10.048370327789248
Cubic Polynomial_0_27,log(x + 4),tensor(0.2009),-14.827435869075147
Cubic Polynomial_0_28,x + tanh(2),tensor(0.2115),-12.894905891681189
Cubic Polynomial_0_29,sinh(x) - 1,tensor(0.2638),-6.785198433453608
Cubic Polynomial_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c12c5b0>>
Cubic Polynomial_0_31,x + asinh(x),tensor(0.2374),-9.318486332720614
Cubic Polynomial_0_32,sin(x**2)/2,tensor(0.2249),-10.872667423093473
Cubic Polynomial_0_33,2*x/(x + 3),tensor(0.2356),-9.531203724975077
Cubic Polynomial_0_34,6*x**2 - 2*x,tensor(0.1734),-21.73715684441607
Cubic Polynomial_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b9d0>>
Cubic Polynomial_0_36,tanh(x + 2),tensor(0.2091),-13.310161538820788
Cubic Polynomial_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954ccd0>>
Cubic Polynomial_0_38,log(x**3),tensor(0.),0
Cubic Polynomial_0_39,25*x**2,tensor(0.1033),-74.3336876378396
Cubic Polynomial_0_40,sin(x) + acosh(x),tensor(0.),0
Cubic Polynomial_0_41,sinh(x)*cosh(x),tensor(0.2361),-9.46708877717305
Cubic Polynomial_0_42,sin(x),tensor(0.2338),-9.74461093380809
Cubic Polynomial_0_43,4*x*cos(x),tensor(0.2389),-9.145572037363372
Cubic Polynomial_0_44,-sin(x + 4),tensor(0.2178),-11.893941199647363
Cubic Polynomial_0_45,x*asinh(x) + 2*x,tensor(0.2278),-10.487357909283087
Cubic Polynomial_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf8610>>
Cubic Polynomial_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf8220>>
Cubic Polynomial_0_48,x + exp(-x),tensor(0.2026),-14.48644395244475
Cubic Polynomial_0_49,sinh(sqrt(x)),tensor(0.),0
Cubic Polynomial_0_50,3*x/2,tensor(0.2361),-9.469990410537978
Cubic Polynomial_0_51,-cos(x + 1),tensor(0.2448),-8.520126143580512
Cubic Polynomial_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954ceb0>>
Cubic Polynomial_0_53,atan(x)**2,tensor(0.2224),-11.222375455894797
Cubic Polynomial_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954c460>>
Cubic Polynomial_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954ca30>>
Cubic Polynomial_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954cd00>>
Cubic Polynomial_0_57,3*sinh(x),tensor(0.2402),-9.004062321727144
Cubic Polynomial_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c040c10>>
Cubic Polynomial_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954c1f0>>
Cubic Polynomial_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954c7c0>>
Cubic Polynomial_0_61,2*x + cos(4),tensor(0.2567),-7.3877732559902825
Cubic Polynomial_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4baf0>>
Cubic Polynomial_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b730>>
Cubic Polynomial_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b4f0>>
Cubic Polynomial_0_65,(x + cos(x))**4,tensor(0.1950),-16.037093649594656
Cubic Polynomial_0_66,x*(x + 10),tensor(0.2093),-13.279959920231839
Cubic Polynomial_0_67,x**2*sin(1),tensor(0.2212),-11.389564250391823
Cubic Polynomial_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954cc40>>
Cubic Polynomial_0_69,x**5 + x**2,tensor(0.2217),-11.318870888495528
Cubic Polynomial_0_70,tanh(x) + 1/x,tensor(0.1157),-57.4171264580233
Cubic Polynomial_0_71,x**3/8,tensor(0.2300),-10.210530442340014
Cubic Polynomial_0_72,-x - sin(x),tensor(0.2184),-11.808396108328182
Cubic Polynomial_0_73,x*(x + tan(1)),tensor(0.2257),-10.765000744657332
Cubic Polynomial_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f6439f1f0>>
Cubic Polynomial_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f64084430>>
Cubic Polynomial_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c12cf70>>
Cubic Polynomial_0_77,x*(x + exp(x) + 5),tensor(0.2160),-12.179376410740721
Cubic Polynomial_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f9004bc40>>
Cubic Polynomial_0_79,4*x**3,tensor(0.2389),-9.149950779870858
Cubic Polynomial_0_80,tan(x) + 3,tensor(0.1759),-20.938969006579747
Cubic Polynomial_0_81,3*x**2/4,tensor(0.2221),-11.263592124269598
Cubic Polynomial_0_82,x**4/4 + sin(x),tensor(0.2321),-9.950795168645772
Cubic Polynomial_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761e7d30>>
